1,Rosa,'Rosa spp.',Rosaceae,'Europa','As rosas são flores conhecidas por sua beleza e fragrância.'
2,Orquídea,'Orchidaceae',Orchidaceae,'Mundo todo','As orquídeas são conhecidas por sua diversidade e beleza.'
3,Girassol,'Helianthus annuus',Asteraceae,'Américas','O girassol é conhecido por seguir a trajetória do sol.'
4,Tulipa,'Tulipa spp.',Liliaceae,'Ásia','As tulipas são flores coloridas que simbolizam amor e beleza.'
5,Margarida,'Bellis perennis',Asteraceae,'Europa','As margaridas são flores brancas com miolo amarelo.'
6,Lavanda,'Lavandula spp.',Lamiaceae,'Mediterrâneo','A lavanda é conhecida por seu aroma relaxante.'
7,Cacto,'Cactaceae',Cactaceae,'América do Norte','Os cactos são plantas adaptadas a climas áridos.'
8,Jasmim,'Jasminum spp.',Oleaceae,'Ásia','O jasmim é conhecido por seu perfume doce.'
9,Lírio,'Lilium spp.',Liliaceae,'Europa e Ásia','Os lírios são flores elegantes e perfumadas.'
10,Hortênsia,'Hydrangea spp.',Hydrangeaceae,'Ásia e América do Norte','As hortênsias são conhecidas por suas flores grandes e coloridas.'
11,Orégano,'Origanum vulgare',Lamiaceae,'Mediterrâneo','O orégano é uma erva aromática usada na culinária.'
12,Begônia,'Begonia spp.',Begoniaceae,'América do Sul','As begônias são plantas ornamentais com flores coloridas.'
13,Camélia,'Camellia spp.',Theaceae,'Ásia','As camélias são apreciadas por suas flores elegantes.'
14,Dente-de-leão,'Taraxacum officinale',Asteraceae,'Europa','O dente-de-leão é uma planta comestível e medicinal.'
15,Gerânio,'Pelargonium spp.',Geraniaceae,'África do Sul','Os gerânios são conhecidos por suas folhas perfumadas.'
16,Alecrim,'Rosmarinus officinalis',Lamiaceae,'Mediterrâneo','O alecrim é uma erva aromática usada na culinária.'
17,Peônia,'Paeonia spp.',Paeoniaceae,'Ásia e América do Norte','As peônias são flores grandes e vistosas.'
18,Ficus,'Ficus spp.',Moraceae,'Ásia','O ficus é uma planta de interior popular.'
19,Crisântemo,'Chrysanthemum spp.',Asteraceae,'Ásia','Os crisântemos são flores tradicionais em muitas culturas.'
20,Camomila,'Matricaria chamomilla',Asteraceae,'Europa','A camomila é conhecida por suas propriedades calmantes.'
21,Espada-de-São-Jorge,'Sansevieria trifasciata',Asparagaceae,'África','A espada-de-São-Jorge é uma planta resistente.'
22,Amarílis,'Hippeastrum spp.',Amaryllidaceae,'América do Sul','Amarílis é conhecida por suas flores grandes e vistosas.'
23,Agave,'Agave spp.',Agavaceae,'Américas','O agave é usado na produção de tequila.'
24,Antúrio,'Anthurium spp.',Araceae,'América do Sul','Os antúrios são apreciados por suas flores em forma de coração.'
25,Pinheiro,'Pinus spp.',Pinaceae,'Mundo todo','Os pinheiros são árvores coníferas com agulhas.'
26,Bambu,'Bambusoideae',Poaceae,'Ásia','O bambu é uma planta de crescimento rápido.'
27,Gérbera,'Gerbera spp.',Asteraceae,'África do Sul','As gérberas são flores coloridas e vibrantes.'
28,Calêndula,'Calendula officinalis',Asteraceae,'Mediterrâneo','A calêndula é usada na medicina tradicional.'
29,Begônia-rex,'Begonia rex',Begoniaceae,'Índia','A begônia-rex é apreciada por suas folhas ornamentais.'
30,Sálvia,'Salvia officinalis',Lamiaceae,'Mediterrâneo','A sálvia é uma erva aromática com propriedades medicinais.'
31,Hortelã,'Mentha spp.',Lamiaceae,'Mundo todo','A hortelã é usada na culinária e na medicina.'
32,Azaleia,'Rhododendron spp.',Ericaceae,'Ásia','As azaleias são arbustos floridos.'
33,Poinsettia,'Euphorbia pulcherrima',Euphorbiaceae,'México','A poinsettia é uma planta tradicional de Natal.'
34,Suculenta,'Crassulaceae',problema,'Mundo todo','As suculentas são plantas com folhas suculentas.'
35,Erva-cidreira,'Melissa officinalis',Lamiaceae,'Mediterrâneo','A erva-cidreira é usada para fazer chá.'
36,Gladíolo,'Gladiolus spp.',Iridaceae,'África do Sul','Os gladíolos são conhecidos por suas hastes altas e flores em espiga.'
37,Dália,'Dahlia spp.',Asteraceae,'América Central','As dálias vêm em várias cores e formas.'
38,Samambaia,'Pteridophyta',Diversas famílias,'Mundo todo','As samambaias são plantas não floríferas.'
39,Malmequer,'Tagetes patula',Asteraceae,'América do Norte','Os malmequeres são flores de cores brilhantes.'
40,Lantana,'Lantana camara',Verbenaceae,'América','A lantana é apreciada por suas flores em forma de guarda-chuva.'
41,Hibisco,'Hibiscus rosa-sinensis',Malvaceae,'Ásia','O hibisco é conhecido por suas flores exuberantes.'
42,Manjericão,'Ocimum basilicum',Lamiaceae,'Ásia','O manjericão é uma erva aromática usada na culinária.'
43,Eucalipto,'Eucalyptus spp.',Myrtaceae,'Austrália','As folhas de eucalipto são usadas para fazer óleos essenciais.'
44,Verbena,'Verbena spp.',Verbenaceae,'Américas','Verbena é apreciada por suas flores pequenas e coloridas.'
45,Papoula,'Papaver rhoeas',Papaveraceae,'Ásia','O ópio é derivado de algumas espécies de papoulas.'
46,Peperômia,'Peperomia spp.',Piperaceae,'Américas','As peperômias são plantas de interior populares.'
47,Mirtilo,'Vaccinium spp.',Ericaceae,'Américas','Os mirtilos são conhecidos por seu sabor doce e saudável.'
48,Bananeira,'Musa spp.',Musaceae,'Sudeste Asiático','As bananeiras produzem frutas ricas em potássio.'
49,Cacto-de-Natal,'Schlumbergera spp.',Cactaceae,'Brasil','O cacto-de-Natal é uma planta de interior popular durante as festas de fim de ano.'
50,Rosa-do-deserto,'Adenium obesum',Apocynaceae,'África e Oriente Médio','A rosa-do-deserto é uma planta suculenta com flores coloridas.'
51,Abacateiro,'Persea americana',Lauraceae,'América Central','O abacateiro produz a fruta abacate.'
52,Begônia-tigre,'Begonia bowerae',Begoniaceae,'América do Sul','A begônia-tigre tem folhas decorativas.'
53,Calathea,'Calathea spp.',Marantaceae,'América do Sul','As calatheas são apreciadas por suas folhas ornamentais.'
54,Dália-cacto,'Dahlia pinnata',Asteraceae,'América Central','As dálias-cacto têm flores em forma de esfera.'
